COOLING DEGREE DAY TOTALS BY MONTH, MISSING=-9999
STDV YEAR    JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC   ANNL
0599 1969      0     0     0     1     6    17   146   128    38     0     0     0    335
0599 1970      0     0     0     0     7    35   117   129    12     0     0     0    300
0599 1971      0     0     0     0     2    66    74    83     5     0     0     0    228
0599 1972      0     0     0     0     3    61    70    56    13     0     0     0    203
0599 1973      0     0     0     0     2    40    69    94     7     0     0     0    212
0599 1974      0     0     0     0    11    57   133    43     3     0     0     0    247
0599 1975      0     0     0     0     1    28   100    74     7     0     0     0    210
0599 1976      0     0     0     0     2    45   121    58    12     0     0     0    237
0599 1977      0     0     0     0     8   100   133    67    30     1     0     0    338
0599 1978      0     0     0     0     1    59   143    50    20     0     0     0    272
0599 1979      0     0     0     0     0    40   116    51    27     2     0     0    237
0599 1980      0     0     0     0     2    98   183    99    26     0     0     0    408
0599 1981      0     0     0     2     2   101   147    70    36     0     0     0    358
0599 1982      0     0     0     0     1    21   107   111    16     0     0     0    256
0599 1983      0     0     0     0     0    26   135   157    39     0     0     0    357
0599 1984      0     0     0     0     9    39   132    94    15     0     0     0    288
0599 1985      0     0     0     0     6    54   104    86     6     0     0     0    257
0599 1986      0     0     0     0     3    70   103    83    11     0     0     0    270
0599 1987      0     0     0     0     4    58   109    53    10     0     0     0    235
0599 1988      0     0     0     0     5    99   116   108    12     0     0     0    341
0599 1989      0     0     0     0     4    28   127    56    12     0     0     0    227
0599 1990      0     0     0     0     2    99    76    58    41     0     0     0    275
0599 1991      0     0     0     0     7    60    89    71    13     0     0     0    240
0599 1992      0     0     0     0     6    24    57    38    18     1     0     0    144
0599 1993      0     0     0     0     3    32    78    47     4     0     0     0    164
0599 1994      0     0     0     0    12    98    91   104    25     0     0     0    330
0599 1995      0     0     0     0     0    22    71   137    15     0     0     0    245
0599 1996      0     0     0     0     9    65   116    79     9     0     0     0    278
0599 1997      0     0     0     0     5    55   110    62    28     0     0     0    259
0599 1998      0     0     0     0     9    28   154    85    58     0     0     0    334
0599 1999      0     0     0     0     2    38   153    83     7     0     0     0    283
0599 2000      0     0     0     0    12    67   188   168    27     0     0     0    462
0699 1931      0     0     0     0    15    94   262   190    94     8     0     0    663
0699 1932      0     0     0     0    17    77   197   185    40     4     0     0    519
0699 1933      0     0     0     0    34   117   194   173    62     2     0     0    582
0699 1934      0     0     0     0    27   140   265    98    65     0     0     0    595
0699 1935      0     0     0     0     5    80   273   175    19     0     0     0    552
0699 1936      0     0     0     0    30    79   197   187    44     3     0     0    540
0699 1937      0     0     0     0    25   100   221   254    27     0     0     0    628
0699 1938      0     0     0     0     5    86   217   234    17     5     0     0    563
0699 1939      0     0     0     0    21    81   190   248    36     2     0     0    577
0699 1940      0     0     0     0     7    47   174    77    18     0     0     0    323
0699 1941      0     0     0     2    11    81   186   113    34     3     0     0    431
0699 1942      0     0     0     0    25    77   184   128    30     2     0     0    447
0699 1943      0     0     0     0    17   162   202   138    25     0     0     0    545
0699 1944      0     0     0     0    37    73   234   202    48     0     0     0    594
0699 1945      0     0     0     0     2    80   183   113    75     1     0     0    454
0699 1946      0     0     0     0     8    54   156    79    47     7     0     0    351
0699 1947      0     0     0     0     5    39   207   207    32    11     0     0    500
0699 1948      0     0     0     0     5    53   200   179    47     0     0     0    486
0699 1949      0     0     0     0    15   148   317   212    18    10     0     0    720
0699 1950      0     0     0     0     6    68   166   136    12     3     0     0    391
0699 1951      0     0     0     0    14    67   219   156    33     5     0     0    494
0699 1952      0     0     0     0     6   136   303   172    48     0     0     0    665
0699 1953      0     0     0     0    20   107   210   155    54     4     0     0    550
0699 1954      0     0     0     0     5    91   166   110    19    10     0     0    400
0699 1955      0     0     0     1    23    55   331   255    31     4     0     0    700
0699 1956      0     0     0     0     4   103   145   144    12     0     0     0    408
0699 1957      0     0     0     0    14   158   183    93    40     1     0     0    489
0699 1958      0     0     0     0     2    22   190   148    28     0     0     0    389
0699 1959      0     0     0     0    23    56   212   228    78     4     0     0    600
0699 1960      0     0     0     1    12    77   137   157    29     0     0     0    413
0699 1961      0     0     0     0     5    82   191   155   124     7     0     0    564
0699 1962      0     0     0     0    11    82   100   112    11     0     0     0    317
0699 1963      0     0     0     0     6    77   195   108     8     5     0     0    399
0699 1964      0     0     0     0    23    60   199    77    27     0     0     0    387
0699 1965      0     0     0     0    31    59   144   144    44     1     0     0    422
0699 1966      0     0     0     0     4    99   236   170    25     0     0     0    533
0699 1967      0     0     0     0     1   105   211   155    24     2     0     0    498
0699 1968      0     0     0     0     4    64   230   157    48     5     0     0    508
0699 1969      0     0     0     0    11    85   155   208    41     1     0     0    501
0699 1970      0     0     0     0    15    63   217   207    48     3     0     0    553
0699 1971      0     0     0     0     7    99   192   164    76    18     0     0    557
0699 1972      0     0     0     0    13    44   224   146    51     0     0     0    478
0699 1973      0     0     0     0     7   135   226   245    43     2     0     0    657
0699 1974      0     0     0     0     3    64   206   182    36     0     0     0    490
0699 1975      0     0     0     0    35    75   235   176    13     1     0     0    536
0699 1976      0     0     0     0     9   151   168   148    24     0     0     0    500
0699 1977      0     0     0     0    22    53   222   191    48     1     0     0    536
0699 1978      0     0     0     0    10    78   172   194    21     0     0     0    476
0699 1979      0     0     0     0    34    67   247   179    37     0     0     0    564
0699 1980      0     0     0     0    25    55   255   254    72     1     0     0    660
0699 1981      0     0     0     1    18   113   254   171    32     0     0     0    589
0699 1982      0     0     0     0    21    40   235   122    38     1     0     0    457
0699 1983      0     0     0     0     7   123   254   210    82     2     0     0    679
0699 1984      0     0     0     0     8   132   182   233    17     6     0     0    579
0699 1985      0     0     0     0    21    40   204   164    49     2     0     0    481
0699 1986      0     0     0     0    26    72   200   136    25     2     0     0    460
0699 1987      0     0     0     0    17   124   264   133    38     0     0     0    576
0699 1988      0     0     0     0    18    86   280   271    44     0     0     0    700
0699 1989      0     0     0     0    24   112   205   179    43     1     0     0    565
0699 1990      0     0     0     0     7   109   246   226    44    12     0     0    643
0699 1991      0     0     0     2    61   133   246   231    33     4     0     0    709
0699 1992      0     0     0     0    12    64   147   121    32     0     0     0    377
0699 1993      0     0     0     0    26    97   254   216    42     0     0     0    635
0699 1994      0     0     0     0     9   152   337   154    32     0     0     0    684
0699 1995      0     0     0     0     8   106   298   203    25     7     0     0    647
0699 1996      0     0     0     0     8   102   159   178    44     1     0     0    492
