HEATING DEGREE DAY TOTALS BY MONTH FOR SEASON BEGINNING JULY 1 OF YEAR, MISSING=-9999
STDV YEAR    JUL   AUG   SEP   OCT   NOV   DEC   JAN   FEB   MAR   APR   MAY   JUN   ANNL
0599 1975     37    68   295   522   993  1091  1234   873   996   632   410   161   7313
0599 1976     24    75   257   675   950  1131  1317   941   992   606   340    79   7388
0599 1977     18    60   176   520   886  1097  1320  1106   862   598   457   138   7239
0599 1978     18    83   208   547   949  1430  1560  1057   941   652   471   172   8087
0599 1979     26    79   172   499  1122  1142  1307  1005  1029   736   453    94   7663
0599 1980     10    46   198   592   883   903  1062   955   923   455   416    91   6534
0599 1981     15    58   168   567   773  1112  1238  1073   889   682   438   223   7236
0599 1982     38    34   250   635   986  1174  1126   949   965   834   516   208   7715
0599 1983     28    18   172   546   929  1486  1366  1034  1010   817   325   164   7897
0599 1984     24    47   265   739   881  1141  1349  1167   891   581   336   131   7553
0599 1985     33    56   326   612  1084  1256   994   933   721   588   413   113   7129
0599 1986     35    52   288   615   916  1214  1226   969  1021   601   368   128   7434
0599 1987     33    82   266   547   907  1256  1407  1030   986   628   374    81   7598
0599 1988     25    39   263   488   895  1231  1197  1237   817   583   350   195   7319
0599 1989     25    82   258   584   836  1292  1150  1035   903   605   445    86   7300
0599 1990     52    69   161   569   812  1368  1302   885   892   674   354   126   7264
0599 1991     40    60   245   571  1023  1159  1216   898   830   511   327   192   7071
0599 1992     70    94   210   502  1082  1314  1293  1120   882   681   389   182   7821
0599 1993     55    93   326   655  1072  1118  1156  1090   832   657   312    79   7443
0599 1994     38    35   207   599   967  1076  1179   876   897   773   575   224   7444
0599 1995     61    25   267   611   802  1099  1260   959   983   635   330   116   7149
0599 1996     27    56   286   571   899  1136  1248  1052   826   814   399   129   7442
0599 1997     31    67   184   583   986  1223  1107   966   971   720   314   202   7355
0599 1998     18    44   126   554   786  1176  1063   848   789   753   442   173   6771
0599 1999     17    59   303   544   674  1092  1078   830   850   547   277   114   6383
0599 2000     11    19   198   549  1117  1210 -9999 -9999 -9999 -9999 -9999 -9999  -9999
0699 1930  -9999 -9999 -9999 -9999 -9999 -9999  1183  1038   873   525   227    39  -9999
0699 1931      1    10    43   296   574   936   867   984   985   607   222    43   5567
0699 1932      6    12    99   354   777   977   938   975   952   564   171    20   5845
0699 1933      5    11    74   427   844  1191  1110  1397   963   537   190    19   6769
0699 1934      1    40    73   499   634  1117  1294  1086   834   598   318    53   6549
0699 1935      0    17   157   400   610  1194  1225  1242   709   624   193    40   6411
0699 1936      6    10    93   397   821   970   924   938  1022   596   197    30   6003
0699 1937      4     4   153   451   721  1099  1212   968   799   477   300    45   6234
0699 1938      4     7   167   312   675  1045  1203   950   973   630   214    39   6220
0699 1939      6     4   121   408   823  1038  1411  1051  1081   681   282    76   6983
0699 1940      8    56   154   545   765  1010  1275  1080  1060   409   231    45   6638
0699 1941      6    33   103   348   642   986  1243  1107   806   491   183    41   5990
0699 1942      6    25   115   375   733  1216  1262  1050   953   730   273    14   6753
0699 1943      4    22   138   447   791  1207  1150  1084  1015   667   167    45   6740
0699 1944      2     9    99   465   761  1180  1363  1048   644   416   341    53   6381
0699 1945      7    29    64   463   694  1254  1177  1105   646   608   297    65   6409
0699 1946     10    54    78   306   615  1038  1059  1106   972   594   312    88   6231
0699 1947      5     9   109   273   796  1169  1393  1167   897   568   301    70   6755
0699 1948      6    11    98   429   566  1016   979   898   844   482   232    21   5580
0699 1949      0    11   147   265   735  1002   937  1083  1018   629   311    53   6190
0699 1950      8    25   174   332   631  1052  1073   924   837   485   221    54   5816
